rno,1,2,3,4,5,6,7,8
0808CS151062,6.38,6.88,6.87,6.31,7,7,7.19,7.38
0808CS151063,8.08,8.46,7.89,7.46,7.5,7.44,7.81,8.5
0808CS151064,7.35,7.04,6.87,5.08,6.81,6.94,6.88,8
0808CS151065,8.19,8.58,8.42,8.35,8.25,8.19,8.5,8.88
0808CS151066,8.19,8.58,8.46,8.42,8.38,8.31,8.63,8.75
0808CS151067,7.23,6.54,6.88,,,,,
0808CS151068,7.54,7.58,7.86,7.81,8.06,7.63,8.13,8.31
0808CS151069,7.23,7.96,7.82,7.65,8,7.81,7.75,8.38
0808CS151070,7.77,8.23,7.89,7.69,8,7.56,7.75,8.25
0808CS151071,7.35,7.88,7.74,7.35,7.94,7.63,7.69,8.38
0808CS151072,7.69,8.5,8.36,8.31,8.5,8.13,8.56,8.88
0808CS151073,7.96,8.19,8.21,7.81,8.5,7.88,8.25,8.88
0808CS151074,7.69,8.42,7.67,7.46,7.69,6.94,7.38,8.13
0808CS151075,7.31,6.85,6.63,4.88,6.88,6.38,6.69,7.44
0808CS151076,7.46,7.38,7.62,7.54,7.69,7.56,7.5,8.25
0808CS151077,7.81,7.69,7.39,7.08,7.56,6.56,7.5,7.56
0808CS151078,7.38,7.46,7.46,7.12,7.88,7.13,7.38,7.88
0808CS151079,7.35,7,7.38,6.81,7.31,6.81,7.75,8.63
0808CS151080,3.27,3.77,4.74,4.69,5.25,5.75,5.75,
0808CS151081,7.85,8,7.96,7.38,7.81,7.63,8.25,8.81
0808CS151082,7.27,7.62,7.69,7.54,7.81,7.25,7.63,8.75
0808CS151083,8.58,9.08,8.78,8.88,9,8.56,8.38,9
0808CS151084,8.38,8.42,8.17,7.81,8.19,7.81,7.94,8.69
0808CS151085,8.23,9.15,8.6,8.58,8.19,8.69,8.63,8.75
0808CS151086,8.58,8.77,8.44,8.46,8.38,8.25,8.06,8.63
0808CS151088,5.73,6.35,6.64,6.35,7.19,6.5,6.69,7.69
0808CS151089,8.65,8.69,8.68,8.42,8.56,8.81,8.5,9.13
0808CS151090,9.27,8.69,9.06,9,8.88,9.25,9,9.38
0808CS151091,6.69,4.46,5.42,3.31,6.25,4.5,5.56,7.19
0808CS151092,8.42,8.77,8.21,7.73,7.81,7.81,8.19,8.75
0808CS151093,7.92,8,8.01,7.46,7.75,8.19,7.81,8.94
0808CS151094,6.62,4.73,5.61,4.73,5.5,5.88,6.25,
0808CS151096,7.5,7.65,7.45,6.42,7.56,7.13,7.5,8.44
0808CS151097,7.81,8.77,8.54,8.58,8.56,8.75,8.25,9.06
0808CS151098,7.31,7.38,7.63,6.46,7.31,7.88,8.19,8.94
0808CS151099,8.65,9,8.34,8.15,7.81,8.19,8,8.63
0808CS151100,8.38,8.5,8.44,7.88,8.31,8.44,8.5,9.13
0808CS151101,8.12,8.58,8.11,7.62,7.56,8.19,8.06,8.69
0808CS151103,8.38,8.73,8.25,8.35,7.56,8.13,7.63,9
0808CS151104,8,8.31,7.77,7.35,7,8,7.38,8.38
0808CS151105,7.27,7.12,6.99,5.69,6.56,7.19,7.38,7.75
0808CS151106,7.81,8.19,7.88,7.81,7.63,7.75,7.5,8.5
0808CS151107,8.27,8.88,8.59,8.69,8.5,8.63,8.06,9.13
0808CS151108,8.15,7.69,7.39,6.58,6.94,6.81,7.31,8.31
0808CS151109,7.96,8.73,8.29,7.62,8.13,7.88,8.75,9
0808CS151110,6.88,6.31,6.37,5.77,6.19,6,6.25,7.19
0808CS151111,8.81,9,8.54,8.12,8.56,8.25,8.13,8.94
0808CS151112,8.38,8.73,8.88,8.65,9,9,8.94,9.5
0808CS151113,7.96,8.73,7.96,7.38,8,7.56,7.75,8.38
0808CS151114,7.69,7.54,7.41,6.69,7.44,7.13,7.38,8.06
0808CS151115,7.19,7.73,7.65,7.62,7.88,7.06,7.69,8.44
0808CS151116,8.31,8.38,7.31,6.38,6.88,6.63,7,7.63
0808CS151117,7.92,8.58,7.9,7.5,7.75,7.31,8.06,8.19
0808CS151118,8.5,8.85,8.42,7.69,7.94,8.06,8.81,9.13
0808CS151119,8.65,8.85,8.18,7.65,8.06,7.56,7.94,8.56
